
trees = 75, leaf nodes = 300, features = 300, r square = 0.400341995204, oob_score = 0.31027338951
trees = 75, leaf nodes = 500, features = 300, r square = 0.460796501779, oob_score = 0.322176304975
trees = 75, leaf nodes = 800, features = 300, r square = 0.528972063597, oob_score = 0.328386528662
trees = 75, leaf nodes = 1000, features = 300, r square = 0.567262027533, oob_score = 0.32889036524
trees = 75, leaf nodes = 1200, features = 300, r square = 0.603729828448, oob_score = 0.333470232092
trees = 100, leaf nodes = 300, features = 300, r square = 0.401995643656, oob_score = 0.312472192235
trees = 100, leaf nodes = 500, features = 300, r square = 0.460825112896, oob_score = 0.322002883481
trees = 100, leaf nodes = 800, features = 300, r square = 0.53236611537, oob_score = 0.332271448114
trees = 100, leaf nodes = 1000, features = 300, r square = 0.569200981703, oob_score = 0.333342234724
trees = 100, leaf nodes = 1200, features = 300, r square = 0.602902025927, oob_score = 0.332857730787
trees = 75, leaf nodes = 300, features = 500, r square = 0.420898877588, oob_score = 0.325041759586
trees = 75, leaf nodes = 500, features = 500, r square = 0.482336880082, oob_score = 0.333165044412
trees = 75, leaf nodes = 800, features = 500, r square = 0.554446558417, oob_score = 0.339823069461
trees = 75, leaf nodes = 1000, features = 500, r square = 0.593631994567, oob_score = 0.342085941102
trees = 75, leaf nodes = 1200, features = 500, r square = 0.627357270613, oob_score = 0.340551953652
trees = 100, leaf nodes = 300, features = 500, r square = 0.422277560518, oob_score = 0.325819278741
trees = 100, leaf nodes = 500, features = 500, r square = 0.483332386266, oob_score = 0.335302878519
trees = 100, leaf nodes = 800, features = 500, r square = 0.554807769928, oob_score = 0.340269318715
trees = 100, leaf nodes = 1000, features = 500, r square = 0.594645071906, oob_score = 0.342542675368
trees = 100, leaf nodes = 1200, features = 500, r square = 0.62908483302, oob_score = 0.344789123291
trees = 75, leaf nodes = 300, features = 800, r square = 0.436773561593, oob_score = 0.335396841794
trees = 75, leaf nodes = 300, features = 1000, r square = 0.443569566779, oob_score = 0.337503010247
trees = 75, leaf nodes = 500, features = 800, r square = 0.500355666442, oob_score = 0.342364118244
trees = 75, leaf nodes = 500, features = 1000, r square = 0.506876267453, oob_score = 0.342907013915
trees = 75, leaf nodes = 800, features = 800, r square = 0.572974111547, oob_score = 0.346586399995
trees = 75, leaf nodes = 800, features = 1000, r square = 0.58036606961, oob_score = 0.348151712236
trees = 75, leaf nodes = 1000, features = 800, r square = 0.612962518146, oob_score = 0.348400814162
trees = 75, leaf nodes = 1000, features = 1000, r square = 0.620049409565, oob_score = 0.346560534191
trees = 75, leaf nodes = 1200, features = 800, r square = 0.647922924068, oob_score = 0.345249475841
trees = 75, leaf nodes = 1200, features = 1000, r square = 0.65569842078, oob_score = 0.349439590662
trees = 100, leaf nodes = 300, features = 800, r square = 0.439915294688, oob_score = 0.338065500053
trees = 100, leaf nodes = 300, features = 1000, r square = 0.445524331992, oob_score = 0.340664498136
trees = 100, leaf nodes = 500, features = 800, r square = 0.501525158845, oob_score = 0.344631142718
trees = 100, leaf nodes = 500, features = 1000, r square = 0.507812543016, oob_score = 0.3471020517
trees = 100, leaf nodes = 800, features = 800, r square = 0.573857912205, oob_score = 0.348646781227
trees = 100, leaf nodes = 800, features = 1000, r square = 0.581566430877, oob_score = 0.350269574102
trees = 100, leaf nodes = 1000, features = 800, r square = 0.614989285876, oob_score = 0.350223623225
trees = 100, leaf nodes = 1000, features = 1000, r square = 0.621932530678, oob_score = 0.350700212911
trees = 100, leaf nodes = 1200, features = 800, r square = 0.64852226139, oob_score = 0.350586100768
trees = 100, leaf nodes = 1200, features = 1000, r square = 0.657172319701, oob_score = 0.353414659338
